"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","376","@smoke GET API -- get all users","chromium","2026-09-07","passed","2026-09-07","","api/users-api-separate.spec.ts","",""
"","4411","@smoke valid login test","chromium","2026-09-07","passed","2026-09-07","","loginpage-fixture.spec.ts","",""
"","389","@smoke Get all users and validate the schema","chromium","2026-09-07","passed","2026-09-07","","api/schema-validation.spec.ts","",""
"","5066","@smoke verify footers on product page","chromium","2026-09-07","passed","2026-09-07","","productpage.spec.ts","",""
"","2848","@smoke intercept and log requests","chromium","2026-09-07","passed","2026-09-07","","api/intercept.spec.ts","",""
"","3270","@smoke home page title test","chromium","2026-09-07","passed","2026-09-07","","homepage-fixture.spec.ts","",""
"","1206","@smoke Get a single user and validate the schema","chromium","2026-09-07","passed","2026-09-07","","api/schema-validation.spec.ts","",""
"","4438","@smoke verify logo on product page","chromium","2026-09-07","passed","2026-09-07","","productpage.spec.ts","",""
"","3228","@smoke verify logout link test","chromium","2026-09-07","passed","2026-09-07","","homepage-fixture.spec.ts","",""
"","2327","@smoke login page title test","chromium","2026-09-07","passed","2026-09-07","","loginpage-fixture.spec.ts","",""
