"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2414","@regression forgot password link test","chromium","2026-09-07","passed","2026-09-07","","loginpage-fixture.spec.ts","",""
"","1","valid login test","chromium","2026-09-07","skipped","2026-09-07","","loginpage.spec.ts","",""
"","349","@regression update a user test","chromium","2026-09-07","passed","2026-09-07","","api/users-api.spec.ts","",""
"","0","home page headers test","chromium","2026-09-07","skipped","2026-09-07","","homepage.spec.ts","",""
"","964","@regression create a new user test","chromium","2026-09-07","passed","2026-09-07","","api/users-api.spec.ts","",""
"","4950","@regression basic product details test with iMac","chromium","2026-09-07","passed","2026-09-07","","search.spec.ts","",""
"","2827","@smoke intercept and log requests","chromium","2026-09-07","passed","2026-09-07","","api/intercept.spec.ts","",""
"","1261","@regression POST API -- create a new users","chromium","2026-09-07","passed","2026-09-07","","api/users-api-separate.spec.ts","",""
"","5323","@regression basic product details test with MacBook Pro","chromium","2026-09-07","passed","2026-09-07","","search.spec.ts","",""
"","5103","@regression verify product images count","chromium","2026-09-07","passed","2026-09-07","","productpage.spec.ts","",""
"","0","login page title test","chromium","2026-09-07","skipped","2026-09-07","","loginpage.spec.ts","",""
"","1","forgot password link test","chromium","2026-09-07","skipped","2026-09-07","","loginpage.spec.ts","",""
"","514","@regression delete a user test","chromium","2026-09-07","passed","2026-09-07","","api/users-api.spec.ts","",""
"","3432","@regression home page headers test","chromium","2026-09-07","passed","2026-09-07","","homepage-fixture.spec.ts","",""
"","2380","@smoke login page title test","chromium","2026-09-07","passed","2026-09-07","","loginpage-fixture.spec.ts","",""
"","3328","@smoke home page title test","chromium","2026-09-07","passed","2026-09-07","","homepage-fixture.spec.ts","",""
"","990","@smoke Get all users and validate the schema","chromium","2026-09-07","passed","2026-09-07","","api/schema-validation.spec.ts","",""
"","1","verify logout link test","chromium","2026-09-07","skipped","2026-09-07","","homepage.spec.ts","",""
"","2906","@regression log in with invalid credentials -- data-driven with randomuser@opencart.com,","chromium","2026-09-07","passed","2026-09-07","","loginpage-fixture.spec.ts","",""
"","374","@regression get user test","chromium","2026-09-07","passed","2026-09-07","","api/users-api.spec.ts","",""
"","5245","@regression basic product details test with MacBook Air","chromium","2026-09-07","passed","2026-09-07","","search.spec.ts","",""
"","5158","@smoke verify footers on product page","chromium","2026-09-07","passed","2026-09-07","","productpage.spec.ts","",""
"","0","home page title test","chromium","2026-09-07","skipped","2026-09-07","","homepage.spec.ts","",""
"","1311","@smoke Get a single user and validate the schema","chromium","2026-09-07","passed","2026-09-07","","api/schema-validation.spec.ts","",""
"","1640","@regression DELETE API -- delete a user","chromium","2026-09-07","passed","2026-09-07","","api/users-api-separate.spec.ts","",""
"","2795","@regression log in with invalid credentials -- JSON data-driven with pwbatchtest@open.com, wrong@123","chromium","2026-09-07","passed","2026-09-07","","loginpage-fixture.spec.ts","",""
"","2932","@regression log in with invalid credentials -- JSON data-driven with wrong@open.com, wrong@123","chromium","2026-09-07","passed","2026-09-07","","loginpage-fixture.spec.ts","",""
"","4900","@smoke valid login test","chromium","2026-09-07","passed","2026-09-07","","loginpage-fixture.spec.ts","",""
"","5139","@regression verify product data -- MacBook Air","chromium","2026-09-07","passed","2026-09-07","","productpage.spec.ts","",""
"","549","@regression GET invoices","chromium","2026-09-07","passed","2026-09-07","","api/paypal-oauth2.spec.ts","",""
"","3682","@regression product search results test with MacBook Air","chromium","2026-09-07","passed","2026-09-07","","search.spec.ts","",""
"","3817","@regression product search results test with iMac","chromium","2026-09-07","passed","2026-09-07","","search.spec.ts","",""
"","3692","@regression product search results test with MacBook Pro","chromium","2026-09-07","passed","2026-09-07","","search.spec.ts","",""
"","2763","@regression log in with invalid credentials -- JSON data-driven with invalid@open.com,","chromium","2026-09-07","passed","2026-09-07","","loginpage-fixture.spec.ts","",""
"","273","@regression mock search data API","chromium","2026-09-07","passed","2026-09-07","","api/intercept.spec.ts","",""
"","2985","@regression log in with invalid credentials -- data-driven with invaliduser@email.com, mypassword","chromium","2026-09-07","passed","2026-09-07","","loginpage-fixture.spec.ts","",""
"","3313","@smoke verify logout link test","chromium","2026-09-07","passed","2026-09-07","","homepage-fixture.spec.ts","",""
"","1621","@regression PUT API -- update a user","chromium","2026-09-07","passed","2026-09-07","","api/users-api-separate.spec.ts","",""
"","4425","@regression log in with invalid credentials -- data-driven with fixtures","chromium","2026-09-07","passed","2026-09-07","","loginpage-fixture.spec.ts","",""
"","956","@smoke GET API -- get all users","chromium","2026-09-07","passed","2026-09-07","","api/users-api-separate.spec.ts","",""
"","2968","@regression log in with invalid credentials -- data-driven with , password1234","chromium","2026-09-07","passed","2026-09-07","","loginpage-fixture.spec.ts","",""
"","4761","@smoke verify logo on product page","chromium","2026-09-07","passed","2026-09-07","","productpage.spec.ts","",""
